hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,7.5,352.5,4252621506
24,345,22.5,7.5,2105589494
23,330,37.5,22.5,1247665947
22,315,52.5,37.5,1567766117
21,300,67.5,52.5,1529608304
20,285,82.5,67.5,1844045217
19,270,97.5,82.5,4340898403
18,255,112.5,97.5,9189039124
17,240,127.5,112.5,18852329373
16,225,142.5,127.5,14901836776
15,210,157.5,142.5,6704447449
14,195,172.5,157.5,4795120435
13,180,187.5,172.5,3310511571
12,165,202.5,187.5,2536015059
11,150,217.5,202.5,2790982890
10,135,232.5,217.5,4248172731
9,120,247.5,232.5,7899156956
8,105,262.5,247.5,10897138333
7,90,277.5,262.5,14725041994
6,75,292.5,277.5,17035752673
5,60,307.5,292.5,26973704330
4,45,322.5,307.5,40669066914
3,30,337.5,322.5,32177465483
2,15,352.5,337.5,17057071580
