hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,460283246
2,15,7.5,22.5,2185916151
3,30,22.5,37.5,4876368317
4,45,37.5,52.5,6326802060
5,60,52.5,67.5,3604438290
6,75,67.5,82.5,1693294020
7,90,82.5,97.5,1375636196
8,105,97.5,112.5,1003709633
9,120,112.5,127.5,701910956
10,135,127.5,142.5,347141823
11,150,142.5,157.5,202991565
12,165,157.5,172.5,217260595
13,180,172.5,187.5,281519148
14,195,187.5,202.5,362571246
15,210,202.5,217.5,608879623
16,225,217.5,232.5,1554883279
17,240,232.5,247.5,2303952838
18,255,247.5,262.5,1017099467
19,270,262.5,277.5,433844149
20,285,277.5,292.5,179105859
21,300,292.5,307.5,133383982
22,315,307.5,322.5,139596289
23,330,322.5,337.5,111199234
24,345,337.5,352.5,223229681
