hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,1323231556
2,15,7.5,22.5,5409236952
3,30,22.5,37.5,11363832373
4,45,37.5,52.5,15386477469
5,60,52.5,67.5,10350979867
6,75,67.5,82.5,6286076594
7,90,82.5,97.5,5226179160
8,105,97.5,112.5,3513575783
9,120,112.5,127.5,2080665282
10,135,127.5,142.5,1174656154
11,150,142.5,157.5,812427727
12,165,157.5,172.5,731363900
13,180,172.5,187.5,1035137943
14,195,187.5,202.5,1740278290
15,210,202.5,217.5,2744740138
16,225,217.5,232.5,7352645387
17,240,232.5,247.5,9516935953
18,255,247.5,262.5,3540069359
19,270,262.5,277.5,1481820967
20,285,277.5,292.5,578836566
21,300,292.5,307.5,455257643
22,315,307.5,322.5,497948379
23,330,322.5,337.5,381986522
24,345,337.5,352.5,638557114
