hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,2766942
2,15,7.5,22.5,4561458
3,30,22.5,37.5,11004713
4,45,37.5,52.5,29978904
5,60,52.5,67.5,29518434
6,75,67.5,82.5,13927660
7,90,82.5,97.5,9751758
8,105,97.5,112.5,6793794
9,120,112.5,127.5,3715866
10,135,127.5,142.5,2725530
11,150,142.5,157.5,2501900
12,165,157.5,172.5,2806386
13,180,172.5,187.5,3377985
14,195,187.5,202.5,4544995
15,210,202.5,217.5,8802556
16,225,217.5,232.5,22591611
17,240,232.5,247.5,45690849
18,255,247.5,262.5,23441392
19,270,262.5,277.5,6783238
20,285,277.5,292.5,2852949
21,300,292.5,307.5,1596112
22,315,307.5,322.5,1243294
23,330,322.5,337.5,1249033
24,345,337.5,352.5,1613158
