hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,868659487
2,15,7.5,22.5,2462236166
3,30,22.5,37.5,11037341187
4,45,37.5,52.5,25435826522
5,60,52.5,67.5,14019462110
6,75,67.5,82.5,3242058832
7,90,82.5,97.5,1687609744
8,105,97.5,112.5,759472342
9,120,112.5,127.5,401099269
10,135,127.5,142.5,430590309
11,150,142.5,157.5,296489176
12,165,157.5,172.5,323257107
13,180,172.5,187.5,590653113
14,195,187.5,202.5,993551952
15,210,202.5,217.5,2107608786
16,225,217.5,232.5,7147952564
17,240,232.5,247.5,9310621124
18,255,247.5,262.5,3386187008
19,270,262.5,277.5,1343012715
20,285,277.5,292.5,651359417
21,300,292.5,307.5,399963158
22,315,307.5,322.5,492979194
23,330,322.5,337.5,342067489
24,345,337.5,352.5,444290677
