hue_bin,hue_center_deg,hue_edge_lo_deg,hue_edge_hi_deg,count
1,0,-7.5,7.5,4252621506
2,15,7.5,22.5,17057071580
3,30,22.5,37.5,32177465483
4,45,37.5,52.5,40669066914
5,60,52.5,67.5,26973704330
6,75,67.5,82.5,17035752673
7,90,82.5,97.5,14725041994
8,105,97.5,112.5,10897138333
9,120,112.5,127.5,7899156956
10,135,127.5,142.5,4248172731
11,150,142.5,157.5,2790982890
12,165,157.5,172.5,2536015059
13,180,172.5,187.5,3310511571
14,195,187.5,202.5,4795120435
15,210,202.5,217.5,6704447449
16,225,217.5,232.5,14901836776
17,240,232.5,247.5,18852329373
18,255,247.5,262.5,9189039124
19,270,262.5,277.5,4340898403
20,285,277.5,292.5,1844045217
21,300,292.5,307.5,1529608304
22,315,307.5,322.5,1567766117
23,330,322.5,337.5,1247665947
24,345,337.5,352.5,2105589494
